area,confirmed,died,crued
布隆迪,2,,
塞拉利昂,2,,
博茨瓦纳,4,1,
北马里亚纳,2,,
百慕大,27,,2
英属维尔京群岛,3,,
安圭拉,2,,
格林纳达,10,,
圣基茨和尼维斯,8,,
特克斯和凯科斯群岛,6,,
几内亚比绍,9,,
马里,31,3,
利比亚,10,,
老挝,10,,
伯利兹,3,,
缅甸,16,1,
多米尼克,12,,
莫桑比克,10,,
叙利亚,10,2,
马恩岛,75,1,
巴布亚新几内亚,1,,
厄立特里亚,18,,
乌干达,44,,
安哥拉,8,2,1
东帝汶,1,,
新喀里多尼亚,18,,1
马达加斯加,57,,
津巴布韦,8,1,
佛得角,6,1,
蒙特塞拉特,5,,
海地,16,,1
尼日尔,74,5,
乍得,7,,
萨尔瓦多,41,2,
尼加拉瓜,5,1,
斐济,7,,
毛里求斯,161,7,
赞比亚,39,1,
格恩西岛,60,1,
吉布提,33,,
吉尔吉斯斯坦,116,,5
巴巴多斯,45,,
黑山,140,2,
冈比亚,4,1,2
美属维尔京群岛,30,,
关岛,69,2,
格陵兰岛,10,,2
贝宁,13,,1
索马里,5,,1
坦桑尼亚,20,1,1
利比里亚,6,,
圭亚那合作共和国,19,4,
马约特,116,1,10
巴哈马,21,1,1
乌兹别克斯坦,190,2,12
瓜德罗普,125,6,24
开曼群岛,22,1,
刚果（布）,22,3,2
中非共和国,8,,3
塞舌尔,10,,
赤道几内亚,15,,1
纳米比亚,14,,2
卢旺达,82,,
斯威士兰,9,,
毛里塔尼亚,6,1,2
阿鲁巴,55,,1
钻石公主号邮轮,712,11,619
苏里南,10,,
库拉索,11,1,3
圣卢西亚,13,,1
圣文森特和格林纳丁斯,2,,1
泽西岛,63,2,
安提瓜和巴布达,7,,
波多黎各,286,11,
危地马拉,46,1,12
乌拉圭,350,2,62
委内瑞拉,143,3,41
苏丹,7,2,2
几内亚,30,,1
埃塞俄比亚,29,,2
哈萨克斯坦,402,3,27
肯尼亚,81,1,3
特立尼达和多巴哥,90,5,1
加蓬,18,1,
加纳,196,5,31
法属波利尼西亚,37,,
古巴,212,6,12
留尼汪岛,281,,40
科特迪瓦,190,1,9
洪都拉斯,219,14,3
玻利维亚,123,7,1
圣马丁岛,18,1,6
圣巴泰勒米岛,5,,
牙买加,44,3,2
土耳其,15679,277,333
刚果（金）,123,11,3
巴拿马,1317,32,9
蒙古国,14,,2
布基纳法索,282,16,46
塞浦路斯,320,9,28
文莱,133,1,56
马提尼克,135,3,27
法属圭亚那,51,0,6
法罗群岛,173,,75
阿尔巴尼亚,277,16,67
孟加拉国,56,6,25
保加利亚,449,10,25
摩尔多瓦,423,5,23
马尔代夫,19,,13
巴拉圭,77,3,2
马耳他,188,,2
哥斯达黎加,375,2,4
哥伦比亚,1065,17,39
多哥,36,2,10
秘鲁,1323,47,394
斯洛伐克,426,1,3
喀麦隆,271,6,10
梵蒂冈,6,,
塞尔维亚,1060,28,42
直布罗陀,81,,34
不丹,5,,
列支敦士登,72,,
巴勒斯坦,155,1,18
南非,1380,5,50
波黑,512,15,20
匈牙利,585,21,42
斯洛文尼亚,897,16,10
波兰,2633,45,56
阿根廷,1133,80,248
智利,3031,16,234
乌克兰,804,20,13
沙特阿拉伯,1720,16,264
突尼斯,423,12,5
塞内加尔,195,1,55
拉脱维亚,458,,1
摩洛哥,676,39,29
约旦,278,5,36
葡萄牙,8251,187,43
安道尔,390,14,10
印度尼西亚,1790,170,112
捷克,3604,40,61
多米尼加,1284,57,9
亚美尼亚,663,4,33
爱尔兰,3447,85,5
卢森堡,2319,29,80
厄瓜多尔,2758,98,58
卡塔尔,835,2,71
圣马力诺,236,28,13
摩纳哥,55,1,2
冰岛,1220,2,236
墨西哥,1378,37,35
阿塞拜疆,400,5,26
白俄罗斯,163,2,53
新西兰,797,1,92
立陶宛,649,8,7
尼日利亚,174,2,9
埃及,779,52,179
荷兰,13696,1175,260
爱沙尼亚,858,11,45
丹麦,3355,104,971
罗马尼亚,2738,94,267
北马其顿,354,11,17
挪威,4898,45,13
格鲁吉亚,130,,26
巴基斯坦,2291,31,107
希腊,1415,50,52
阿尔及利亚,847,58,61
瑞士,18267,505,4013
克罗地亚,963,6,73
奥地利,10877,158,1749
阿曼,231,1,57
阿富汗,239,4,5
巴林,635,4,341
科威特,342,,1
伊拉克,728,52,182
黎巴嫩,494,16,43
以色列,6211,31,289
伊朗,50468,3160,16711
巴西,6931,244,127
比利时,15348,1011,2495
西班牙,110238,10003,26743
瑞典,4947,239,103
俄罗斯,3548,30,235
英国,29865,2357,179
意大利,110574,13155,16847
印度,2032,58,148
菲律宾,2633,107,51
芬兰,1518,17,300
阿联酋,814,8,61
斯里兰卡,148,3,21
柬埔寨,110,,34
尼泊尔,5,,1
加拿大,9731,129,1736
德国,77981,931,18700
越南,222,,64
法国,57763,4043,11055
美国,216722,5138,8672
韩国,9976,172,5828
澳大利亚,5137,25,422
马来西亚,3116,50,767
日本,2649,71,472
新加坡,1000,4,245
泰国,1875,15,505
中国,82771,3327,76619
