,area,confirmed,died,crued
0,马拉维,3,,
1,布隆迪,3,,
2,塞拉利昂,2,,
3,博茨瓦纳,4,1,
4,北马里亚纳,6,,
5,百慕大,35,,11
6,英属维尔京群岛,3,,
7,安圭拉,3,,
8,格林纳达,10,,
9,圣基茨和尼维斯,9,,
10,特克斯和凯科斯群岛,6,,
11,几内亚比绍,9,,
12,马里,36,3,
13,利比亚,11,1,
14,老挝,10,,
15,伯利兹,3,,
16,缅甸,20,1,
17,多米尼克,12,,
18,莫桑比克,10,,
19,叙利亚,16,2,
20,马恩岛,114,1,
21,巴布亚新几内亚,1,,
22,厄立特里亚,22,,
23,乌干达,45,,
24,安哥拉,8,2,1
25,东帝汶,1,,
26,新喀里多尼亚,18,,1
27,马达加斯加,59,,
28,津巴布韦,9,1,
29,佛得角,6,1,
30,蒙特塞拉特,5,,
31,海地,18,,1
32,尼日尔,98,5,
33,乍得,8,,
34,萨尔瓦多,46,2,
35,尼加拉瓜,5,1,
36,斐济,7,,
37,毛里求斯,169,7,
38,赞比亚,39,1,2
39,格恩西岛,78,1,
40,吉布提,49,,8
41,吉尔吉斯斯坦,130,1,5
42,巴巴多斯,46,,
43,黑山,160,2,
44,冈比亚,4,1,2
45,美属维尔京群岛,30,,
46,关岛,77,3,
47,格陵兰岛,10,,3
48,贝宁,13,,1
49,索马里,5,,1
50,坦桑尼亚,20,1,3
51,利比里亚,6,,
52,圭亚那合作共和国,19,4,
53,马约特,116,2,10
54,巴哈马,24,1,1
55,乌兹别克斯坦,221,2,25
56,瓜德罗普,128,6,24
57,开曼群岛,28,1,
58,刚果（布）,41,3,2
59,中非共和国,8,,3
60,塞舌尔,10,,
61,赤道几内亚,15,,1
62,纳米比亚,14,,3
63,卢旺达,84,,
64,斯威士兰,9,,
65,毛里塔尼亚,6,1,2
66,阿鲁巴,60,,1
67,钻石公主号邮轮,712,11,619
68,苏里南,10,,
69,库拉索,11,1,3
70,圣卢西亚,13,,1
71,圣文森特和格林纳丁斯,2,,1
72,泽西岛,81,2,
73,安提瓜和巴布达,9,,
74,波多黎各,316,12,
75,危地马拉,47,1,12
76,乌拉圭,369,4,68
77,委内瑞拉,146,5,43
78,苏丹,8,2,2
79,几内亚,52,,1
80,埃塞俄比亚,35,,3
81,哈萨克斯坦,460,6,29
82,肯尼亚,122,4,4
83,特立尼达和多巴哥,97,6,1
84,加蓬,21,1,1
85,加纳,204,5,49
86,法属波利尼西亚,37,,
87,古巴,233,6,13
88,留尼汪岛,308,,40
89,科特迪瓦,194,1,15
90,洪都拉斯,222,15,3
91,玻利维亚,132,9,1
92,圣马丁岛,23,2,6
93,圣巴泰勒米岛,5,,
94,牙买加,47,3,2
95,土耳其,18135,356,415
96,刚果（金）,134,13,3
97,巴拿马,1475,37,9
98,蒙古国,14,,2
99,布基纳法索,288,16,50
100,塞浦路斯,356,10,28
101,文莱,134,1,65
102,马提尼克,138,3,27
103,法属圭亚那,51,0,15
104,法罗群岛,179,,91
105,阿尔巴尼亚,304,16,89
106,孟加拉国,61,6,25
107,保加利亚,477,12,30
108,摩尔多瓦,505,6,23
109,马尔代夫,19,,13
110,巴拉圭,92,3,4
111,马耳他,202,,2
112,哥斯达黎加,396,2,6
113,哥伦比亚,1161,19,55
114,多哥,40,3,17
115,秘鲁,1414,55,537
116,斯洛伐克,450,1,10
117,喀麦隆,306,8,10
118,梵蒂冈,7,,
119,塞尔维亚,1171,31,42
120,直布罗陀,88,,46
121,不丹,5,,1
122,列支敦士登,75,,
123,巴勒斯坦,171,1,18
124,南非,1462,5,50
125,波黑,568,17,27
126,匈牙利,623,26,43
127,斯洛文尼亚,934,20,70
128,波兰,3149,59,56
129,阿根廷,1265,80,256
130,智利,3404,18,335
131,乌克兰,942,23,19
132,沙特阿拉伯,1885,21,328
