,confirm,suspect,heal,dead,severe
2020-01-20,291,54,25,6,0
2020-01-21,440,37,25,9,102
2020-01-22,571,393,28,17,95
2020-01-23,830,1072,34,25,177
2020-01-24,1287,1965,38,41,237
2020-01-25,1975,2684,49,56,324
2020-01-26,2744,5794,51,80,461
2020-01-27,4515,6973,60,106,976
2020-01-28,5974,9239,103,132,1239
2020-01-29,7711,12167,124,170,1370
2020-01-30,9692,15238,171,213,1527
2020-01-31,11791,17988,243,259,1795
2020-02-01,14380,19544,328,304,2110
2020-02-02,17205,21558,475,361,2296
2020-02-03,20438,23214,632,425,2788
2020-02-04,24324,23260,892,490,3219
2020-02-05,28018,24702,1153,563,3859
2020-02-06,31161,26359,1540,636,4821
2020-02-07,34546,27657,2050,722,6101
2020-02-08,37198,28942,2649,811,6188
2020-02-09,40171,23589,3281,908,6484
2020-02-10,42638,21675,3996,1016,7333
2020-02-11,44653,16067,4740,1113,8204
2020-02-12,58761,13435,5642,1259,8030
2020-02-13,63851,10109,6723,1380,10204
2020-02-14,66492,8969,8096,1523,11053
2020-02-15,68500,8228,9419,1665,11272
2020-02-16,70548,7264,10844,1770,10644
2020-02-17,72436,6242,12552,1868,11741
2020-02-18,74185,5248,14376,2004,11977
2020-02-19,75002,4922,16157,2118,11864
2020-02-20,75891,5206,18266,2236,11633
2020-02-21,76288,5365,20659,2345,11477
2020-02-22,76741,4148,22888,2442,10968
2020-02-23,77150,3434,24734,2592,9915
2020-02-24,77658,2824,27323,2663,9126
2020-02-25,78064,2491,29745,2715,8752
2020-02-26,78497,2358,32495,2744,8346
2020-02-27,78824,2308,36117,2788,7952
2020-02-28,79251,1418,39002,2835,7664
2020-02-29,79824,851,41625,2870,7365
2020-03-01,80026,715,44462,2912,7110
2020-03-02,80151,587,47204,2943,6806
2020-03-03,80270,520,49856,2981,6416
2020-03-04,80409,522,52045,3012,5952
2020-03-05,80552,482,53726,3042,5737
2020-03-06,80651,502,55404,3070,5489
2020-03-07,80695,458,57065,3097,5264
2020-03-08,80735,421,58600,3119,5111
2020-03-09,80754,349,59897,3136,4794
2020-03-10,80778,285,61475,3158,4492
2020-03-11,80793,253,62793,3169,4257
2020-03-12,80813,147,64111,3176,4020
2020-03-13,80824,115,65541,3189,3610
2020-03-14,80844,113,66911,3199,3226
2020-03-15,80860,134,67749,3213,3032
2020-03-16,80881,128,68679,3226,2830
2020-03-17,80894,119,69601,3237,2622
2020-03-18,80928,105,70420,3245,2314
2020-03-19,80967,104,71150,3248,2136
2020-03-20,81008,106,71740,3255,1963
2020-03-21,81054,118,72244,3261,1845
2020-03-22,81093,136,72703,3270,1749
2020-03-23,81171,132,73159,3277,1573
2020-03-24,81218,134,73650,3281,1399
2020-03-25,81285,159,74051,3287,1235
2020-03-26,81340,189,74588,3292,1034
2020-03-27,81394,184,74971,3295,921
2020-03-28,81439,174,75448,3300,742
2020-03-29,81470,168,75770,3304,633
2020-03-30,81518,183,76052,3305,528
2020-03-31,81554,172,76238,3312,466
2020-04-01,81589,153,76408,3318,429
2020-04-02,81620,135,76571,3322,379
2020-04-03,81639,114,76751,3326,331
2020-04-04,81669,107,76964,3329,295
