,area,confirmed,died,crued
0,马拉维,4,,
1,布隆迪,3,,
2,塞拉利昂,4,,
3,博茨瓦纳,4,1,
4,北马里亚纳,8,1,
5,百慕大,35,,14
6,英属维尔京群岛,3,,
7,安圭拉,3,,
8,格林纳达,12,,
9,圣基茨和尼维斯,9,,
10,特克斯和凯科斯群岛,6,,
11,几内亚比绍,18,,
12,马里,41,3,1
13,利比亚,18,1,
14,老挝,10,,
15,伯利兹,4,,
16,缅甸,21,1,
17,多米尼克,14,,
18,莫桑比克,10,,
19,叙利亚,16,2,2
20,马恩岛,126,1,
21,巴布亚新几内亚,1,,
22,厄立特里亚,29,,
23,乌干达,48,,
24,安哥拉,10,2,2
25,东帝汶,1,,
26,新喀里多尼亚,18,,1
27,马达加斯加,70,,
28,津巴布韦,9,1,
29,佛得角,7,1,
30,蒙特塞拉特,6,,
31,海地,20,,1
32,尼日尔,144,8,
33,乍得,9,,
34,萨尔瓦多,56,3,2
35,尼加拉瓜,5,1,
36,斐济,12,,
37,毛里求斯,196,7,
38,赞比亚,39,1,2
39,格恩西岛,91,1,
40,吉布提,50,,8
41,吉尔吉斯斯坦,144,1,9
42,巴巴多斯,52,,
43,黑山,197,2,1
44,冈比亚,4,1,2
45,美属维尔京群岛,33,,
46,关岛,82,3,
47,格陵兰岛,10,,3
48,贝宁,16,,2
49,索马里,7,,1
50,坦桑尼亚,20,1,3
51,利比里亚,10,1,3
52,圭亚那合作共和国,23,4,
53,马约特,134,2,14
54,巴哈马,28,5,1
55,乌兹别克斯坦,263,3,25
56,瓜德罗普,134,7,24
57,开曼群岛,35,1,1
58,刚果（布）,41,3,2
59,中非共和国,9,,3
60,塞舌尔,10,,
61,赤道几内亚,16,,1
62,纳米比亚,14,,3
63,卢旺达,102,,
64,斯威士兰,9,,
65,毛里塔尼亚,6,1,2
66,阿鲁巴,64,,1
67,钻石公主号邮轮,712,11,619
68,苏里南,10,,
69,库拉索,11,1,3
70,圣卢西亚,14,,1
71,圣文森特和格林纳丁斯,7,,1
72,泽西岛,81,2,
73,安提瓜和巴布达,15,,
74,波多黎各,316,12,
75,危地马拉,61,2,15
76,乌拉圭,386,4,86
77,委内瑞拉,153,7,52
78,苏丹,10,2,2
79,几内亚,111,,5
80,埃塞俄比亚,38,,4
81,哈萨克斯坦,525,6,36
82,肯尼亚,126,4,4
83,特立尼达和多巴哥,103,6,1
84,加蓬,21,1,1
85,加纳,205,5,31
86,法属波利尼西亚,39,,
87,古巴,269,6,15
88,留尼汪岛,321,,40
89,科特迪瓦,218,1,19
90,洪都拉斯,264,15,3
91,玻利维亚,139,10,1
92,圣马丁岛,24,3,6
93,圣巴泰勒米岛,5,,
94,牙买加,53,3,7
95,土耳其,23934,501,786
96,刚果（金）,154,18,3
97,巴拿马,1801,46,13
98,蒙古国,14,,2
99,布基纳法索,318,16,66
100,塞浦路斯,396,11,28
101,文莱,135,1,66
102,马提尼克,145,3,27
103,法属圭亚那,61,0,22
104,法罗群岛,181,,93
105,阿尔巴尼亚,333,18,99
106,孟加拉国,70,8,30
107,保加利亚,503,17,34
108,摩尔多瓦,752,12,26
109,马尔代夫,19,,13
110,巴拉圭,96,3,12
111,马耳他,213,,2
112,哥斯达黎加,416,2,11
113,哥伦比亚,1406,32,85
114,多哥,41,3,18
115,秘鲁,1746,73,914
116,斯洛伐克,471,1,10
117,喀麦隆,555,9,17
118,梵蒂冈,7,,
119,塞尔维亚,1624,44,54
120,直布罗陀,98,,52
121,不丹,5,,2
122,列支敦士登,77,,
123,巴勒斯坦,216,1,21
124,南非,1585,9,95
125,波黑,624,21,30
126,匈牙利,678,32,58
127,斯洛文尼亚,977,22,79
128,波兰,3627,79,116
129,阿根廷,1353,80,266
130,智利,4161,27,528
131,乌克兰,1096,28,23
132,沙特阿拉伯,2179,29,420
133,突尼斯,495,18,5
134,塞内加尔,219,2,72
135,拉脱维亚,509,1,31
136,摩洛哥,858,50,62
137,约旦,323,5,74
138,葡萄牙,10524,266,75
139,安道尔,466,17,21
140,印度尼西亚,2092,191,150
141,捷克,4472,59,78
142,多米尼加,1488,68,16
143,亚美尼亚,770,7,43
144,爱尔兰,4604,120,25
145,卢森堡,2729,31,500
146,厄瓜多尔,3465,172,100
147,卡塔尔,1325,5,109
148,圣马力诺,251,32,26
149,摩纳哥,66,1,3
150,冰岛,1417,4,396
151,墨西哥,1688,60,633
152,阿塞拜疆,521,5,32
153,白俄罗斯,440,5,53
154,新西兰,950,1,127
155,立陶宛,771,10,7
156,尼日利亚,214,4,25
157,埃及,1070,71,241
158,荷兰,16727,1656,262
159,爱沙尼亚,1018,13,59
160,丹麦,4269,161,1379
161,罗马尼亚,3613,146,329
162,北马其顿,483,17,20
163,挪威,5550,62,32
164,格鲁吉亚,157,1,28
165,巴基斯坦,2818,41,131
166,希腊,1643,67,78
167,阿尔及利亚,1171,105,62
168,瑞士,20505,666,6415
169,克罗地亚,1126,12,119
170,奥地利,11781,186,2507
171,阿曼,277,1,61
172,阿富汗,299,7,10
173,巴林,688,4,399
174,科威特,479,1,93
175,伊拉克,820,54,226
176,黎巴嫩,520,17,50
177,以色列,7851,43,458
178,伊朗,55743,3452,19736
179,巴西,10360,445,127
180,比利时,18431,1283,3247
181,西班牙,126168,11947,34219
182,瑞典,6443,373,205
183,俄罗斯,4731,43,333
184,英国,42477,4313,215
185,意大利,124632,15362,19758
186,印度,3082,86,229
187,菲律宾,3094,144,57
188,芬兰,1882,25,300
189,阿联酋,1505,10,125
190,斯里兰卡,162,5,27
191,柬埔寨,114,,50
192,尼泊尔,9,,1
193,加拿大,14018,234,2595
194,德国,96092,1444,26400
195,越南,240,,90
196,法国,90844,7574,15572
197,美国,311357,8452,14741
198,韩国,10156,177,6325
199,澳大利亚,5550,30,649
200,马来西亚,3483,57,915
201,日本,3438,83,514
202,新加坡,1189,6,297
203,泰国,2067,20,674
