,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
338,2020-01-22,美国,US,,,,,1,0,0,0
517,2020-01-23,美国,US,,,,,1,0,0,0
755,2020-01-24,美国,US,,,,,2,0,0,0
1041,2020-01-25,美国,US,,,,,2,0,0,0
1390,2020-01-26,美国,US,,,,,3,0,0,0
1763,2020-01-27,美国,US,,,,,5,0,0,0
2157,2020-01-28,美国,US,,,,,5,0,0,0
2575,2020-01-29,美国,US,,,,,5,0,0,0
3006,2020-01-30,美国,US,,,,,5,0,0,0
3450,2020-01-31,美国,US,,,,,5,0,0,0
3903,2020-02-01,美国,US,,,,,5,0,0,0
4357,2020-02-02,美国,US,,,,,5,0,0,0
4820,2020-02-03,美国,US,,,,,5,0,0,0
6215,2020-02-06,美国,US,,,,,12,0,1,0
6749,2020-02-07,美国,US,,,,,12,0,1,0
7287,2020-02-08,美国,US,,,,,12,0,3,0
7826,2020-02-09,美国,US,,,,,12,0,3,0
8369,2020-02-10,美国,US,,,,,12,0,3,0
8912,2020-02-11,美国,US,,,,,13,0,3,0
9455,2020-02-12,美国,US,,,,,13,0,3,0
9998,2020-02-13,美国,US,,,,,14,0,3,0
10541,2020-02-14,美国,US,,,,,15,0,3,0
11087,2020-02-15,美国,US,,,,,15,0,3,0
11633,2020-02-16,美国,US,,,,,15,0,3,0
12180,2020-02-17,美国,US,,,,,15,0,3,0
12727,2020-02-18,美国,US,,,,,15,0,3,0
13275,2020-02-19,美国,US,,,,,15,0,3,0
13821,2020-02-20,美国,US,,,,,15,0,3,0
14362,2020-02-21,美国,US,,,,,15,0,3,0
14902,2020-02-22,美国,US,,,,,34,0,3,0
15447,2020-02-23,美国,US,,,,,34,0,3,0
15992,2020-02-24,美国,US,,,,,34,0,3,0
16541,2020-02-25,美国,US,,,,,53,0,3,0
17093,2020-02-26,美国,US,,,,,57,0,3,0
17652,2020-02-27,美国,US,,,,,60,0,3,0
18219,2020-02-28,美国,US,,,,,60,0,3,0
18789,2020-02-29,美国,US,,,,,64,0,3,0
19362,2020-03-01,美国,US,,,,,69,0,3,1
19943,2020-03-02,美国,US,,,,,89,0,3,2
20529,2020-03-03,美国,US,,,,,106,0,3,6
21118,2020-03-04,美国,US,,,,,126,0,3,9
21711,2020-03-05,美国,US,,,,,161,0,3,11
22315,2020-03-06,美国,US,,,,,233,0,3,14
22921,2020-03-07,美国,US,,,,,338,0,10,17
23533,2020-03-08,美国,US,,,,,445,0,10,19
24155,2020-03-09,美国,US,,,,,572,0,10,22
24782,2020-03-10,美国,US,,,,,717,0,10,26
25417,2020-03-11,美国,US,,,,,1004,0,10,31
26052,2020-03-12,美国,US,,,,,1323,0,10,38
26696,2020-03-13,美国,US,,,,,1832,0,31,41
27347,2020-03-14,美国,US,,,,,2291,0,41,50
28008,2020-03-15,美国,US,,,,,2995,0,56,60
28680,2020-03-16,美国,US,,,,,3782,0,56,69
29357,2020-03-17,美国,US,,,,,5073,0,56,90
30038,2020-03-18,美国,US,,,,,6536,0,106,116
30728,2020-03-19,美国,US,,,,,10525,0,108,153
31425,2020-03-20,美国,US,,,,,14387,0,121,204
32127,2020-03-21,美国,US,,,,,19624,0,147,260
32838,2020-03-22,美国,US,,,,,27111,0,178,346
33548,2020-03-23,美国,US,,,,,39183,0,178,473
34275,2020-03-24,美国,US,,,,,46450,0,178,586
35004,2020-03-25,美国,US,,,,,55231,0,354,797
35735,2020-03-26,美国,US,,,,,69197,0,619,1046
36465,2020-03-27,美国,US,,,,,86012,0,753,1301
37200,2020-03-28,美国,US,,,,,104860,0,894,1711
37936,2020-03-29,美国,US,,,,,124868,0,2612,2190
38673,2020-03-30,美国,US,,,,,143724,0,4865,2566
39413,2020-03-31,美国,US,,,,,165764,0,5945,3170
40154,2020-04-01,美国,US,,,,,189753,0,7141,4081
40894,2020-04-02,美国,US,,,,,216722,0,8672,5137
41635,2020-04-03,美国,US,,,,,255456,0,9359,6532
42376,2020-04-04,美国,US,,,,,288993,0,9897,7793
43117,2020-04-05,美国,US,,,,,308850,0,14652,8407
