area,confirmed,died,crued
南苏丹,1,,
马拉维,8,1,
布隆迪,3,,
塞拉利昂,7,,1
博茨瓦纳,6,1,
北马里亚纳,8,1,
百慕大,39,2,17
英属维尔京群岛,3,,
安圭拉,3,,
格林纳达,12,,
圣基茨和尼维斯,11,,
特克斯和凯科斯群岛,8,1,
几内亚比绍,33,,
马里,56,5,12
利比亚,20,1,1
老挝,14,,
伯利兹,7,1,
缅甸,22,3,
多米尼克,15,,1
莫桑比克,10,,1
叙利亚,19,2,3
马恩岛,150,1,73
巴布亚新几内亚,2,,
厄立特里亚,31,,
乌干达,52,,
安哥拉,17,2,2
东帝汶,1,,
新喀里多尼亚,18,,1
马达加斯加,88,,7
津巴布韦,11,2,
佛得角,7,1,1
蒙特塞拉特,9,,
海地,25,,1
尼日尔,278,11,26
乍得,10,,2
萨尔瓦多,93,5,5
尼加拉瓜,6,1,
斐济,15,,
毛里求斯,268,7,8
赞比亚,39,1,7
格恩西岛,154,3,
吉布提,90,,9
吉尔吉斯斯坦,270,4,33
巴巴多斯,63,3,6
黑山,248,2,4
冈比亚,4,1,2
美属维尔京群岛,43,1,
关岛,121,4,
格陵兰岛,11,,10
贝宁,26,1,5
索马里,8,,1
坦桑尼亚,24,1,5
利比里亚,14,3,3
圭亚那合作共和国,33,5,8
马约特,171,2,22
巴哈马,36,6,5
乌兹别克斯坦,534,2,30
瓜德罗普,139,7,31
开曼群岛,45,1,6
刚果（布）,49,5,2
中非共和国,9,,3
塞舌尔,11,,
赤道几内亚,16,,3
纳米比亚,16,,3
卢旺达,105,,7
斯威士兰,10,,4
毛里塔尼亚,6,1,2
阿鲁巴,74,,14
钻石公主号邮轮,712,11,620
苏里南,10,1,3
库拉索,13,1,5
圣卢西亚,14,,1
圣文森特和格林纳丁斯,8,,1
泽西岛,155,3,
安提瓜和巴布达,19,1,
波多黎各,573,23,
危地马拉,80,3,17
乌拉圭,424,7,150
委内瑞拉,166,7,65
苏丹,14,2,2
几内亚,144,,5
埃塞俄比亚,52,2,4
哈萨克斯坦,704,6,51
肯尼亚,172,6,7
特立尼达和多巴哥,107,8,1
加蓬,30,1,1
加纳,287,5,31
法属波利尼西亚,47,,
古巴,396,11,27
留尼汪岛,358,,40
科特迪瓦,349,3,41
洪都拉斯,312,22,6
玻利维亚,210,15,2
圣马丁岛,40,6,7
圣巴泰勒米岛,6,,1
牙买加,63,3,9
土耳其,34109,725,1582
刚果（金）,180,18,9
巴拿马,2249,59,16
蒙古国,16,,4
布基纳法索,384,19,127
塞浦路斯,494,11,47
文莱,135,1,85
马提尼克,152,4,50
法属圭亚那,77,0,34
法罗群岛,184,,129
阿尔巴尼亚,383,22,131
孟加拉国,164,17,33
保加利亚,581,23,42
摩尔多瓦,1056,22,40
马尔代夫,19,,13
巴拉圭,119,5,15
马耳他,293,,5
哥斯达黎加,483,2,24
哥伦比亚,1780,50,100
多哥,65,3,23
秘鲁,2954,107,1301
斯洛伐克,581,2,13
喀麦隆,685,9,60
梵蒂冈,7,,
塞尔维亚,2447,61,118
直布罗陀,113,1,60
不丹,5,,2
列支敦士登,78,1,55
巴勒斯坦,261,1,42
南非,1749,13,95
波黑,764,33,68
匈牙利,895,58,94
斯洛文尼亚,1059,36,102
波兰,4848,129,191
阿根廷,1715,80,338
智利,5116,43,898
乌克兰,1668,52,35
沙特阿拉伯,2795,41,615
突尼斯,623,23,25
塞内加尔,237,2,105
拉脱维亚,548,2,31
摩洛哥,1184,90,93
约旦,353,6,138
葡萄牙,12442,345,184
安道尔,545,22,39
印度尼西亚,2738,221,204
捷克,5033,91,181
多米尼加,1956,98,36
亚美尼亚,853,8,87
爱尔兰,5709,210,25
卢森堡,2970,44,500
厄瓜多尔,3995,220,140
卡塔尔,2057,6,150
圣马力诺,279,34,40
摩纳哥,79,1,4
冰岛,1586,6,559
墨西哥,2785,141,633
阿塞拜疆,717,8,44
白俄罗斯,861,13,54
新西兰,1210,1,282
立陶宛,912,15,8
尼日利亚,254,6,44
埃及,1450,94,276
荷兰,19709,2108,272
爱沙尼亚,1149,21,69
丹麦,5266,203,1621
罗马尼亚,4417,203,460
北马其顿,599,26,30
挪威,6086,89,32
格鲁吉亚,208,3,46
巴基斯坦,4072,58,467
希腊,1832,81,269
阿尔及利亚,1468,193,113
瑞士,22253,821,8704
克罗地亚,1282,18,167
奥地利,12675,243,4046
阿曼,419,2,72
阿富汗,423,14,18
巴林,811,5,458
科威特,743,1,105
伊拉克,1122,65,373
黎巴嫩,548,19,62
以色列,9404,71,801
伊朗,62589,3872,27039
巴西,14049,688,127
比利时,22194,2035,4157
西班牙,141942,14045,43208
瑞典,7693,591,205
俄罗斯,7497,58,494
英国,55949,6171,325
意大利,135586,17127,24392
印度,5356,160,468
菲律宾,3764,177,84
芬兰,2308,43,300
阿联酋,2359,12,186
斯里兰卡,185,6,42
柬埔寨,117,,63
尼泊尔,9,,1
加拿大,17897,381,4028
德国,108462,2025,36081
越南,251,,123
法国,110070,10343,19523
美国,400540,12907,22461
韩国,10384,200,6776
澳大利亚,6010,50,2547
马来西亚,3963,63,1321
日本,4490,98,622
新加坡,1481,6,377
泰国,2369,30,888
中国,83160,3342,77597
