日期,confirm,suspect,heal,dead,severe
2020/1/20,291,54,25,6,0
2020/1/21,440,37,25,9,102
2020/1/22,571,393,28,17,95
2020/1/23,830,1072,34,25,177
2020/1/24,1287,1965,38,41,237
2020/1/25,1975,2684,49,56,324
2020/1/26,2744,5794,51,80,461
2020/1/27,4515,6973,60,106,976
2020/1/28,5974,9239,103,132,1239
2020/1/29,7711,12167,124,170,1370
2020/1/30,9692,15238,171,213,1527
2020/1/31,11791,17988,243,259,1795
2020/2/1,14380,19544,328,304,2110
2020/2/2,17205,21558,475,361,2296
2020/2/3,20438,23214,632,425,2788
2020/2/4,24324,23260,892,490,3219
2020/2/5,28018,24702,1153,563,3859
2020/2/6,31161,26359,1540,636,4821
2020/2/7,34546,27657,2050,722,6101
2020/2/8,37198,28942,2649,811,6188
2020/2/9,40171,23589,3281,908,6484
2020/2/10,42638,21675,3996,1016,7333
2020/2/11,44653,16067,4740,1113,8204
2020/2/12,58761,13435,5642,1259,8030
2020/2/13,63851,10109,6723,1380,10204
2020/2/14,66492,8969,8096,1523,11053
2020/2/15,68500,8228,9419,1665,11272
2020/2/16,70548,7264,10844,1770,10644
2020/2/17,72436,6242,12552,1868,11741
2020/2/18,74185,5248,14376,2004,11977
2020/2/19,75002,4922,16157,2118,11864
2020/2/20,75891,5206,18266,2236,11633
2020/2/21,76288,5365,20659,2345,11477
2020/2/22,76741,4148,22888,2442,10968
2020/2/23,77150,3434,24734,2592,9915
2020/2/24,77658,2824,27323,2663,9126
2020/2/25,78064,2491,29745,2715,8752
2020/2/26,78497,2358,32495,2744,8346
2020/2/27,78824,2308,36117,2788,7952
2020/2/28,79251,1418,39002,2835,7664
2020/2/29,79824,851,41625,2870,7365
2020/3/1,80026,715,44462,2912,7110
2020/3/2,80151,587,47204,2943,6806
2020/3/3,80270,520,49856,2981,6416
2020/3/4,80409,522,52045,3012,5952
2020/3/5,80552,482,53726,3042,5737
2020/3/6,80651,502,55404,3070,5489
2020/3/7,80695,458,57065,3097,5264
2020/3/8,80735,421,58600,3119,5111
2020/3/9,80754,349,59897,3136,4794
2020/3/10,80778,285,61475,3158,4492
2020/3/11,80793,253,62793,3169,4257
2020/3/12,80813,147,64111,3176,4020
2020/3/13,80824,115,65541,3189,3610
2020/3/14,80844,113,66911,3199,3226
2020/3/15,80860,134,67749,3213,3032
2020/3/16,80881,128,68679,3226,2830
2020/3/17,80894,119,69601,3237,2622
2020/3/18,80928,105,70420,3245,2314
2020/3/19,80967,104,71150,3248,2136
2020/3/20,81008,106,71740,3255,1963
2020/3/21,81054,118,72244,3261,1845
2020/3/22,81093,136,72703,3270,1749
2020/3/23,81171,132,73159,3277,1573
2020/3/24,81218,134,73650,3281,1399
2020/3/25,81285,159,74051,3287,1235
2020/3/26,81340,189,74588,3292,1034
2020/3/27,81394,184,74971,3295,921
2020/3/28,81439,174,75448,3300,742
2020/3/29,81470,168,75770,3304,633
2020/3/30,81518,183,76052,3305,528
2020/3/31,81554,172,76238,3312,466
2020/4/1,81589,153,76408,3318,429
2020/4/2,81620,135,76571,3322,379
2020/4/3,81639,114,76751,3326,331
2020/4/4,81669,107,76964,3330,295
2020/4/5,81708,88,77078,3331,265
2020/4/6,81740,89,77167,3331,211
2020/4/7,81802,83,77279,3333,189
2020/4/8,81865,73,77370,3335,176
2020/4/9,81907,53,77455,3336,144
2020/4/10,81953,44,77525,3339,141
2020/4/11,82052,82,77575,3339,139
2020/4/12,82160,72,77663,3341,121
