area,confirmed,died,crued
阿拉伯联合酋长国,4933,28,933
福克兰群岛马尔维纳斯,11,,1
也门,1,,
圣皮埃尔,1,,
圣多美和普林西比,4,,
南苏丹,4,,
马拉维,16,2,
布隆迪,5,1,
塞拉利昂,11,,
博茨瓦纳,13,1,
百慕大,57,5,30
英属维尔京群岛,3,,2
安圭拉,3,,1
格林纳达,14,,
圣基茨和尼维斯,14,,
特克斯和凯科斯群岛,10,1,
几内亚比绍,43,,3
马里,144,13,34
利比亚,35,1,9
老挝,19,,1
伯利兹,18,2,
缅甸,63,4,2
多米尼克,16,,8
莫桑比克,28,,2
叙利亚,29,2,5
马恩岛,254,2,141
巴布亚新几内亚,2,,
厄立特里亚,35,,
乌干达,54,,18
安哥拉,19,2,5
东帝汶,6,,1
新喀里多尼亚,18,,1
马达加斯加,108,,23
津巴布韦,17,3,
佛得角,11,1,1
蒙特塞拉特,11,,1
海地,40,3,1
尼日尔,570,14,90
乍得,23,,2
萨尔瓦多,149,6,25
尼加拉瓜,9,1,4
斐济,16,,
毛里求斯,324,9,42
赞比亚,45,2,30
格恩西岛,209,6,
吉布提,363,2,53
吉尔吉斯斯坦,430,5,71
巴巴多斯,74,5,15
黑山,283,4,46
冈比亚,9,1,2
格陵兰岛,11,,11
贝宁,35,1,18
索马里,60,2,2
坦桑尼亚,53,3,7
利比里亚,59,6,4
圭亚那合作共和国,47,6,8
马约特,217,3,69
巴哈马,49,8,6
乌兹别克斯坦,1165,4,99
瓜德罗普,145,8,67
开曼群岛,54,2,6
刚果（布）,74,5,10
中非共和国,11,,4
塞舌尔,11,,
赤道几内亚,41,,4
纳米比亚,16,,3
卢旺达,134,,49
斯威士兰,15,,8
毛里塔尼亚,7,1,2
阿鲁巴,92,,32
钻石公主号邮轮,712,12,639
苏里南,10,1,6
库拉索,14,1,10
圣卢西亚,15,,11
圣文森特和格林纳丁斯,12,,1
泽西岛,198,4,
安提瓜和巴布达,23,2,3
危地马拉,167,5,19
乌拉圭,501,8,260
委内瑞拉,189,9,110
苏丹,32,5,4
几内亚,363,,31
埃塞俄比亚,82,3,14
哈萨克斯坦,1232,14,203
肯尼亚,216,9,40
特立尼达和多巴哥,113,8,17
加蓬,57,1,1
加纳,636,8,17
法属波利尼西亚,55,,
古巴,766,21,132
留尼汪岛,391,,40
科特迪瓦,626,6,89
洪都拉斯,407,26,7
玻利维亚,354,28,6
圣马丁岛,52,9,11
圣巴泰勒米岛,6,,4
牙买加,105,4,19
土耳其,65111,1403,4799
刚果（金）,241,20,20
巴拿马,3574,95,72
蒙古国,30,,5
布基纳法索,528,30,177
塞浦路斯,695,12,65
文莱,136,1,107
马提尼克,157,6,50
法属圭亚那,86,0,51
法罗群岛,184,,163
阿尔巴尼亚,475,24,248
孟加拉国,1012,46,42
保加利亚,713,35,81
摩尔多瓦,1934,36,134
马尔代夫,20,,16
巴拉圭,161,8,23
马耳他,393,3,44
哥斯达黎加,618,3,66
哥伦比亚,2979,127,354
多哥,77,3,32
秘鲁,10303,230,2869
斯洛伐克,835,2,113
喀麦隆,848,14,130
梵蒂冈,8,,2
塞尔维亚,4465,94,400
直布罗陀,129,1,93
不丹,5,,2
列支敦士登,80,1,55
巴勒斯坦,308,2,58
南非,2415,27,410
波黑,1083,40,236
匈牙利,1512,122,122
斯洛文尼亚,1220,56,152
波兰,7202,263,618
阿根廷,2443,105,559
智利,7917,92,2646
乌克兰,3372,98,119
沙特阿拉伯,5369,73,889
突尼斯,747,34,43
塞内加尔,299,2,183
拉脱维亚,657,5,16
摩洛哥,1888,126,217
约旦,397,7,235
葡萄牙,17448,567,347
安道尔,659,31,160
印度尼西亚,4839,459,426
捷克,6111,161,642
多米尼加,3286,183,162
亚美尼亚,1067,16,265
爱尔兰,11479,406,25
卢森堡,3307,69,500
厄瓜多尔,7603,369,696
卡塔尔,3428,7,373
圣马力诺,372,36,53
摩纳哥,93,1,6
冰岛,1720,8,989
墨西哥,5014,332,1964
阿塞拜疆,1197,13,351
白俄罗斯,3281,33,203
新西兰,1386,9,728
立陶宛,1070,26,101
尼日利亚,373,11,99
埃及,2350,178,589
荷兰,27419,2945,295
爱沙尼亚,1373,31,115
丹麦,6513,299,2515
罗马尼亚,6879,351,1051
北马其顿,908,38,44
挪威,6623,139,32
格鲁吉亚,300,3,69
巴基斯坦,5837,96,1378
希腊,2170,101,269
阿尔及利亚,2070,326,691
瑞士,25936,1174,13700
克罗地亚,1704,31,415
奥地利,14266,384,7633
阿曼,813,4,130
阿富汗,714,23,40
巴林,1528,7,645
科威特,1355,3,176
伊拉克,1400,78,766
黎巴嫩,641,21,80
以色列,12046,123,2195
伊朗,74877,4683,48129
巴西,25262,1532,14026
比利时,31119,4157,6868
西班牙,174060,18255,67504
瑞典,11445,1033,381
俄罗斯,21102,170,1694
英国,94845,12129,625
意大利,162488,21067,37130
印度,11487,393,1359
菲律宾,5223,335,295
芬兰,3161,64,300
斯里兰卡,233,7,61
柬埔寨,122,,91
尼泊尔,16,,1
加拿大,27063,903,8235
德国,132210,3495,68200
越南,266,,169
法国,143303,15729,28805
美国,613886,26047,38820
韩国,10564,222,7534
澳大利亚,6494,61,3598
马来西亚,4987,82,2478
日本,8006,146,799
新加坡,3252,10,586
泰国,2613,41,1405
中国,83745,3352,78389
